Student_ID,Gender,Age,Study_Hours_Per_Day,Attendance_Percentage,Previous_Exam_Score,Assignments_Completed,Sleep_Hours,Internet_Usage_Hours,Social_Media_Hours,Extra_Curricular,Family_Income,Parental_Education,Distance_From_College_km,Class_Participation,Stress_Level,Final_Exam_Score
1,Male,17,5.3,56.1,52.3,7,5.1,1.7,5.3,Yes,Low,High School,15.7,9,2,61.5
2,Female,21,0.7,63.9,75.9,17,6.4,4.1,2.3,Yes,Low,Graduate,4.0,1,3,50.9
3,Female,20,3.3,71.2,56.7,8,8.1,6.1,4.0,Yes,Low,Postgraduate,7.6,7,2,56.5
4,Female,18,2.7,58.6,49.7,3,6.2,4.2,5.9,Yes,High,Postgraduate,8.1,3,6,32.7
5,Female,23,4.0,67.1,93.3,17,5.5,3.3,5.5,No,Low,High School,27.5,1,4,69.3
6,Female,23,4.8,87.3,48.4,15,6.3,7.4,3.5,No,Medium,High School,29.9,5,3,63.1
7,Female,21,1.5,77.2,82.6,3,5.2,2.1,4.9,Yes,High,Postgraduate,4.3,10,2,53.7
8,Male,21,7.1,88.8,83.4,10,5.0,4.0,3.4,Yes,Low,Graduate,23.1,5,9,76.4
9,Male,18,4.5,90.0,68.4,0,7.2,4.4,1.2,Yes,High,Graduate,24.7,6,5,53.3
10,Male,21,7.8,79.0,42.9,15,8.8,2.2,3.9,No,High,Postgraduate,11.8,10,7,81.4
11,Male,20,7.2,75.3,50.6,2,6.0,5.1,2.0,Yes,Low,Graduate,3.1,4,1,59.2
12,Male,18,2.3,85.1,48.5,4,7.8,7.2,4.2,Yes,High,Graduate,11.3,4,8,41.1
13,Male,24,3.6,93.9,38.4,20,8.9,1.7,3.1,Yes,Medium,High School,9.1,6,2,63.3
14,Male,19,2.4,96.5,62.9,17,4.9,5.6,4.0,No,Medium,Graduate,7.2,1,2,63.0
15,Female,19,3.5,57.6,58.9,12,5.7,6.5,3.5,Yes,Medium,High School,29.1,7,9,52.5
16,Male,19,4.8,79.4,82.1,1,4.7,4.3,6.5,Yes,High,High School,20.6,9,3,58.9
17,Female,20,2.3,60.4,91.1,7,7.1,1.3,1.0,No,Low,Graduate,12.5,10,10,53.6
18,Female,19,5.5,68.5,54.9,2,4.5,5.3,4.2,No,Low,High School,11.7,2,2,52.0
19,Male,19,1.7,92.5,79.3,19,8.9,6.6,3.9,No,Low,High School,22.5,9,5,72.7
20,Male,18,1.7,67.7,48.3,10,5.4,5.4,2.2,No,Medium,High School,1.1,8,5,49.9
21,Female,19,6.3,83.7,51.5,14,7.0,4.0,0.6,No,Low,High School,9.9,2,3,68.1
22,Male,20,7.2,90.8,89.2,11,5.4,2.7,1.2,Yes,Low,Graduate,1.7,9,7,89.2
23,Female,22,6.0,69.9,93.6,7,5.7,6.5,1.2,No,Low,High School,1.7,1,8,59.9
24,Male,21,1.9,69.8,89.5,8,6.1,4.6,4.9,Yes,High,Graduate,2.1,9,6,60.8
25,Female,17,5.0,70.6,84.5,13,7.2,4.6,3.0,Yes,Medium,Graduate,3.0,10,4,74.2
26,Female,19,5.5,69.9,54.8,3,7.7,3.1,2.5,Yes,Medium,Postgraduate,28.3,7,6,54.6
27,Female,24,5.6,95.6,73.8,9,6.3,6.8,2.5,No,Medium,Postgraduate,7.2,4,7,69.4
28,Male,21,4.0,95.6,85.1,5,7.5,3.0,4.8,Yes,Low,High School,1.7,10,6,63.1
29,Male,17,2.3,76.4,88.5,2,6.5,7.2,4.2,Yes,Medium,High School,6.1,7,8,48.4
30,Female,24,7.7,78.3,38.2,7,8.6,1.8,1.4,No,High,Graduate,27.0,8,9,68.0
31,Male,21,6.1,76.4,51.3,7,8.3,2.9,5.6,Yes,Medium,Graduate,10.3,8,4,61.9
32,Male,23,4.6,61.2,49.6,4,7.7,1.4,3.1,No,High,Postgraduate,1.6,9,8,49.0
33,Male,24,7.1,80.9,65.0,11,5.8,3.7,6.3,Yes,Medium,Graduate,15.1,7,9,71.8
34,Male,18,3.4,85.1,85.3,5,8.3,7.4,6.9,No,Low,Graduate,6.3,9,1,69.7
35,Female,17,2.5,69.7,63.6,10,7.9,3.7,5.4,Yes,Medium,High School,19.9,7,5,55.1
36,Male,24,6.4,84.3,82.5,7,5.4,1.1,1.5,No,Medium,High School,18.6,3,8,67.8
37,Female,23,7.7,87.3,84.0,5,8.8,1.8,0.7,Yes,Low,Postgraduate,21.0,5,10,72.8
38,Female,18,5.2,59.6,83.7,19,8.1,6.6,4.2,No,Low,Graduate,24.8,1,6,67.9
39,Female,24,1.3,98.2,75.0,14,7.7,4.0,5.3,No,High,Postgraduate,8.8,5,10,53.9
40,Female,19,6.9,92.4,40.5,14,5.6,4.3,4.5,No,Low,Graduate,24.1,7,6,66.3
